file_name,image_path,num_objects,total_mask_area,mean_gray,std_gray,readable,bad_reasons,is_bad
000000.png,data/cogar_sim_500/rgb/000000.png,14,100395.0,188.697197265625,39.02275469609704,True,,False
000002.png,data/cogar_sim_500/rgb/000002.png,17,73496.0,65.13546875,60.49979754002851,True,,False
000004.png,data/cogar_sim_500/rgb/000004.png,19,87048.0,132.60388020833332,42.902404271038826,True,,False
000005.png,data/cogar_sim_500/rgb/000005.png,17,90489.0,130.58872721354166,56.317972749069284,True,,False
000006.png,data/cogar_sim_500/rgb/000006.png,18,116938.0,169.35794270833333,53.86159275302348,True,,False
000009.png,data/cogar_sim_500/rgb/000009.png,18,60465.0,139.43039388020833,43.475839106079036,True,,False
000010.png,data/cogar_sim_500/rgb/000010.png,21,85827.0,147.17694661458333,48.775037291756675,True,,False
000012.png,data/cogar_sim_500/rgb/000012.png,21,115825.0,143.19006510416668,52.05222026360414,True,,False
000014.png,data/cogar_sim_500/rgb/000014.png,20,76735.0,162.38150716145833,45.28559750028292,True,,False
000015.png,data/cogar_sim_500/rgb/000015.png,12,71297.0,121.126279296875,52.44682116471857,True,,False
000017.png,data/cogar_sim_500/rgb/000017.png,15,38477.0,150.97154622395834,64.68878018775361,True,,False
000018.png,data/cogar_sim_500/rgb/000018.png,25,60478.0,175.79097005208334,74.76179309996878,True,,False
000021.png,data/cogar_sim_500/rgb/000021.png,16,132363.0,178.18085286458333,53.5613756134582,True,,False
000022.png,data/cogar_sim_500/rgb/000022.png,21,102516.0,154.58466471354166,64.57527256371395,True,,False
000024.png,data/cogar_sim_500/rgb/000024.png,17,54332.0,68.911005859375,53.97857503181063,True,,False
